HGNC_SYMBOL,LOG2FC,PVALUE
CTDSP1,-0.032,0.629
CTDSP2,0.048,0.759
CTDSPL,-0.262,0.042
CTDSPL2,-0.202,0.055
CTF1,-0.497,0.222
CTGF,-0.654,0.000
CTH,0.011,0.883
CTHRC1,-0.238,0.122
CTIF,0.023,0.741
CTLA4,-0.307,0.749
CTNNA1,0.236,0.040
CTNNA2,0.020,0.947
CTNNA3,0.058,0.369
CTNNAL1,-0.048,0.914
CTNNB1,0.024,0.965
CTNNBIP1,-0.230,0.047
CTNNBL1,0.031,0.827
CTNND1,-0.004,0.240
CTNND2,-0.181,0.089
CTNS,-0.057,0.888
CTPS,-0.008,0.243
CTPS2,-0.150,0.169
CTR9,0.087,0.377
CTRB1,-0.398,0.119
CTRB2,-0.249,0.161
CTRC,0.022,0.738
CTRL,-0.367,0.099
CTSA,0.108,0.394
CTSB,0.160,0.567
CTSC,-0.360,0.001
CTSD,0.217,0.106
CTSE,-0.267,0.012
CTSF,-0.192,0.035
CTSG,-0.143,0.667
CTSH,0.414,0.006
CTSK,-0.072,0.402
CTSL1,0.129,0.077
CTSL1P2,0.800,0.112
CTSL2,-0.736,0.011
CTSL3,0.133,0.713
CTSO,-0.476,0.026
CTSS,0.087,0.891
CTSW,-0.147,0.572
CTSZ,0.108,0.316
CTTN,0.053,0.644
CTTNBP2,-0.625,0.033
CTTNBP2NL,0.131,0.489
CTU1,0.029,0.768
CTU2,-0.018,0.787
CTXN1,0.163,0.207
CTXN3,-0.114,0.394
CUBN,-0.019,0.955
CUEDC1,0.171,0.087
CUEDC2,0.098,0.422
CUL1,-0.034,0.650
CUL2,0.015,0.949
CUL3,0.550,0.241
CUL4A,0.072,0.515
CUL4B,-0.056,0.152
CUL5,-0.127,0.247
CUL7,-0.113,0.349
CUL9,-0.266,0.200
CUTA,-0.058,0.434
CUTC,0.008,0.933
CUX1,-0.027,0.592
CUX2,0.013,0.402
CUZD1,0.167,0.443
CWC15,0.123,0.484
CWC22,-0.063,0.471
CWC25,0.176,0.123
CWC27,-0.044,0.729
CWF19L1,0.054,0.555
CWF19L2,0.072,0.508
CWH43,-0.728,0.001
CX3CL1,-0.412,0.016
CX3CR1,-0.436,0.051
CXADR,-0.237,0.012
CXCL1,-0.416,0.007
CXCL10,-0.456,0.544
CXCL11,-0.192,0.595
CXCL12,0.148,0.291
CXCL13,0.022,0.884
CXCL14,-0.425,0.343
CXCL16,0.104,0.170
CXCL17,0.588,0.138
CXCL2,-0.717,0.000
CXCL3,-0.100,0.557
CXCL5,-0.487,0.005
CXCL6,-0.327,0.229
CXCL9,-0.039,0.958
CXCR1,0.083,0.829
CXCR2,0.273,0.423
CXCR2P1,0.257,0.181
CXCR3,-0.021,0.331
CXCR4,0.073,0.889
CXCR5,-0.333,0.397
CXCR6,0.241,0.280
CXCR7,0.365,0.001
CXorf1,0.336,0.629
CXorf21,0.328,0.430
CXorf22,0.084,0.607
CXorf23,0.106,0.590
CXorf26,0.183,0.338
CXorf27,-0.812,0.003
CXorf28,0.365,0.469
CXorf30,0.049,0.458
CXorf36,0.127,0.694
CXorf38,-0.057,0.423
CXorf40B,-0.053,0.777
CXorf41,-0.039,0.583
CXorf48,0.605,0.456
CXorf49B,-0.046,0.802
CXorf51A,0.154,0.370
CXorf56,-0.048,0.890
CXorf57,-0.040,0.512
CXorf58,-0.006,0.915
CXorf59,0.031,0.600
CXorf61,0.005,0.931
CXorf64,0.016,0.966
CXorf65,-0.512,0.101
CXorf66,-1.740,0.312
CXorf68,-0.074,0.531
CXorf69,-0.018,0.946
CXXC1,0.202,0.216
CXXC1P1,0.051,0.582
CXXC4,-0.174,0.630
CXXC5,0.035,0.764
CYB561,0.031,0.701
CYB561D1,0.119,0.431
CYB561D2,0.089,0.369
CYB5A,0.937,0.000
CYB5B,-0.119,0.675
CYB5D1,-0.224,0.199
CYB5D2,-0.036,0.677
CYB5R1,0.193,0.092
CYB5R2,0.052,0.632
CYB5R3,0.013,0.965
CYB5R4,0.079,0.382
CYB5RL,-0.383,0.135
CYBA,0.188,0.611
CYBASC3,-0.018,0.899
CYBB,-0.140,0.822
CYBRD1,0.084,0.410
CYC1,-0.053,0.482
CYCS,-0.173,0.264
CYCSP52,-0.116,0.542
CYFIP1,0.081,0.615
CYFIP2,0.119,0.483
CYGB,0.145,0.311
CYHR1,-0.016,0.188
CYLC1,0.021,0.721
CYLC2,0.100,0.299
CYLD,0.082,0.731
CYMP,0.584,0.268
CYP11A1,-0.149,0.243
CYP11B1,-0.085,0.785
CYP11B2,-0.334,0.397
CYP17A1,0.204,0.703
CYP19A1,0.331,0.426
CYP1A1,-0.162,0.367
CYP1A2,-0.147,0.198
CYP1B1,0.534,0.101
CYP1B1-AS1,0.734,0.128
CYP20A1,0.005,0.954
CYP21A2,0.575,0.000
CYP24A1,0.482,0.484
CYP26A1,0.512,0.144
CYP26B1,0.343,0.539
CYP26C1,0.193,0.494
CYP27A1,-0.036,0.685
CYP27B1,0.275,0.166
CYP27C1,1.640,0.012
CYP2A13,2.170,0.001
CYP2A7,2.280,0.001
CYP2B6,2.145,0.000
CYP2C18,-0.046,0.542
CYP2C19,0.813,0.002
CYP2C8,1.530,0.005
CYP2C9,0.786,0.004
CYP2D6,-0.356,0.033
CYP2E1,-0.916,0.001
CYP2F1,-0.053,0.822
CYP2G1P,0.695,0.201
CYP2J2,-0.412,0.012
CYP2R1,-0.113,0.360
CYP2S1,1.625,0.000
CYP2U1,0.062,0.392
CYP2W1,0.002,0.985
CYP39A1,0.524,0.020
CYP3A4,3.280,0.000
CYP3A43,0.981,0.018
CYP3A5,1.255,0.000
CYP3A7,1.250,0.000
CYP46A1,-0.178,0.289
CYP4A11,-1.900,0.000
CYP4A22,-1.730,0.003
CYP4B1,0.050,0.431
CYP4F11,0.356,0.001
CYP4F12,0.735,0.000
CYP4F2,0.798,0.000
CYP4F22,0.260,0.350
CYP4F3,1.620,0.000
CYP4F30P,0.079,0.649
CYP4F8,0.806,0.001
CYP4V2,-0.019,0.921
CYP4X1,-1.770,0.004
CYP4Z1,-0.909,0.082
CYP4Z2P,-0.256,0.229
CYP51A1,-0.051,0.542
CYP7A1,-1.020,0.025
CYP7B1,-0.239,0.265
CYP8B1,-1.210,0.009
CYR61,-0.020,0.886
CYS1,-0.173,0.737
CYSLTR1,0.105,0.381
CYSLTR2,0.010,0.867
CYTB,-0.002,0.981
CYTH1,0.229,0.014
CYTH2,0.098,0.236
CYTH3,0.441,0.051
CYTH4,-0.119,0.706
CYTIP,0.150,0.821
CYTL1,-0.364,0.123
CYYR1,0.128,0.883
D21S2088E,0.143,0.846
D21S2090E,0.157,0.234
D2HGDH,-0.228,0.110
D4S234E,-0.314,0.092
DAAM1,0.007,0.943
DAAM2,0.173,0.113
DAB1,-0.169,0.533
DAB2,-0.293,0.051
DAB2IP,-0.035,0.904
DACH1,-0.081,0.745
DACH2,0.030,0.609
DACT1,0.364,0.238
DACT2,-0.163,0.152
DACT3,0.004,0.988
DAD1,0.049,0.506
DAG1,0.182,0.175
DAGLA,-0.106,0.251
DAGLB,-0.084,0.409
DAK,-0.315,0.030
DALRD3,-0.130,0.304
DAND5,-0.648,0.009
DAO,0.079,0.617
DAOA,0.037,0.684
DAOA-AS1,0.002,0.980
DAP,0.105,0.395
DAP3,-0.043,0.512
DAPK1,0.071,0.683
DAPK2,-0.179,0.081
DAPK3,0.149,0.117
DAPL1,0.195,0.616
DAPP1,0.224,0.557
DARC,-0.007,0.990
DARS,0.101,0.179
DARS2,0.044,0.805
DAXX,0.049,0.554
DAZ1,-1.400,0.395
DAZ2,0.011,0.704
DAZAP1,-0.236,0.128
DAZAP2,0.133,0.301
DAZL,-0.056,0.603
DBC1,-0.187,0.373
DBF4,-0.298,0.624
DBF4B,0.130,0.865
DBH,0.006,0.980
DBI,0.180,0.076
DBIL5P,0.352,0.354
DBIL5P2,-0.104,0.797
DBN1,-0.179,0.284
DBNDD1,-0.448,0.003
DBNDD2,-0.008,0.950
DBNL,-0.141,0.462
DBP,0.263,0.334
DBR1,-0.059,0.585
DBT,0.115,0.252
DBX1,0.037,0.687
DBX2,0.004,0.946
DCAF10,0.113,0.276
DCAF11,-0.016,0.888
DCAF12,0.061,0.772
DCAF12L1,-1.320,0.306
DCAF12L2,-0.315,0.661
DCAF13,-0.166,0.032
DCAF15,0.001,0.995
DCAF16,-0.071,0.303
DCAF17,0.066,0.482
DCAF4,-0.157,0.182
DCAF4L1,0.078,0.302
DCAF4L2,-0.366,0.494
DCAF5,-0.227,0.040
DCAF6,-0.050,0.826
DCAF7,0.243,0.080
DCAF8,-0.054,0.662
DCAF8L1,0.086,0.674
DCAF8L2,0.010,0.864
DCAKD,-0.128,0.839
DCBLD1,0.291,0.195
DCBLD2,-0.241,0.006
DCC,0.011,0.851
DCD,-0.867,0.034
DCDC1,-0.329,0.663
DCDC2,-0.065,0.683
DCDC2B,0.287,0.406
DCDC2C,-0.225,0.255
DCDC5,-0.475,0.085
DCHS1,-0.042,0.900
DCHS2,0.343,0.433
DCK,0.023,0.978
DCLK1,0.171,0.276
DCLK2,-0.011,0.906
DCLK3,-0.492,0.452
DCLRE1A,-0.114,0.187
DCLRE1B,-0.199,0.399
DCLRE1C,0.184,0.643
DCN,-0.584,0.024
DCP1A,0.046,0.718
DCP1B,-0.132,0.124
DCP2,0.116,0.532
DCPS,0.249,0.024
DCST1,0.165,0.333
DCST2,0.068,0.859
DCT,-0.084,0.662
DCTD,0.144,0.095
DCTN1,0.142,0.456
DCTN2,0.053,0.494
DCTN3,0.098,0.414
DCTN4,0.030,0.724
DCTN5,0.194,0.245
DCTN6,-0.078,0.388
DCTPP1,-0.071,0.340
DCUN1D1,-0.007,0.948
DCUN1D2,-0.163,0.462
DCUN1D3,-0.037,0.728
DCUN1D4,0.060,0.708
DCUN1D5,-0.098,0.375
DCX,-1.361,0.000
DCXR,0.281,0.018
DDA1,0.021,0.859
DDAH1,-0.103,0.301
DDAH2,-0.086,0.282
DDB1,0.004,0.795
DDB2,-0.223,0.008
DDC,0.176,0.005
DDHD1,-0.039,0.855
DDHD2,0.005,0.954
DDI1,0.112,0.485
DDI2,0.142,0.356
DDIT3,-0.069,0.676
DDIT4,0.312,0.124
DDIT4L,-0.037,0.723
DDN,-0.075,0.714
DDO,-0.164,0.137
DDOST,0.032,0.723
DDR1,0.083,0.599
DDR2,-0.142,0.508
DDRGK1,-0.005,0.925
DDT,-0.249,0.034
DDTL,-1.150,0.198
DDX1,-0.005,0.945
DDX10,-0.298,0.666
DDX11,-0.009,0.678
DDX11L2,0.066,0.420
DDX17,-0.032,0.842
DDX18,-0.076,0.337
DDX19A,-0.020,0.871
DDX19B,0.012,0.905
DDX20,0.007,0.943
DDX21,-0.034,0.694
DDX23,0.168,0.178
DDX24,-0.031,0.791
DDX25,0.538,0.181
DDX26B,0.132,0.319
DDX27,-0.127,0.147
DDX28,0.014,0.831
DDX31,-0.005,0.539
DDX39A,0.198,0.034
DDX39B,-0.071,0.630
DDX3X,0.046,0.638
DDX3Y,0.069,0.432
DDX4,-0.056,0.378
DDX41,0.039,0.770
DDX42,0.047,0.544
DDX43,-0.024,0.902
DDX46,0.164,0.537
DDX47,0.009,0.934
DDX49,0.088,0.221
DDX5,0.062,0.489
DDX50,0.325,0.080
DDX51,-0.116,0.490
DDX52,0.216,0.086
DDX53,0.200,0.261
DDX54,0.090,0.605
DDX55,-0.020,0.678
DDX56,-0.009,0.935
DDX58,0.171,0.412
DDX59,-0.211,0.367
DDX6,-0.090,0.665
DDX60,-0.109,0.438
DDX60L,0.359,0.033
DEAF1,0.077,0.654
DEC1,-0.387,0.334
DECR1,-0.101,0.349
DECR2,0.042,0.392
DEDD,-0.348,0.025
DEDD2,0.079,0.288
DEF6,0.018,0.152
DEF8,0.123,0.208
DEFA10P,0.373,0.310
DEFA11P,0.013,0.823
DEFA3,-0.628,0.515
DEFA4,-0.630,0.160
DEFA5,0.137,0.615
DEFA6,0.009,0.883
DEFA7P,-0.433,0.271
DEFA8P,0.123,0.531
DEFA9P,0.507,0.197
DEFB1,0.395,0.021
DEFB103A,0.587,0.298
DEFB103B,-0.078,0.832
DEFB104B,0.259,0.284
DEFB105B,0.381,0.284
DEFB106B,0.033,0.609
DEFB107A,-0.740,0.144
DEFB108B,1.108,0.197
DEFB109P1,-0.646,0.313
DEFB109P1B,0.021,0.902
DEFB110,0.025,0.805
DEFB112,-0.034,0.646
DEFB113,0.026,0.679
DEFB114,0.013,0.898
DEFB115,-0.297,0.329
DEFB116,-0.043,0.662
DEFB118,0.634,0.304
DEFB119,0.142,0.439
DEFB121,-0.092,0.734
DEFB122,-0.440,0.276
DEFB123,0.541,0.201
DEFB124,0.436,0.331
DEFB125,0.093,0.375
DEFB126,0.046,0.459
DEFB127,-0.008,0.887
DEFB128,0.539,0.358
DEFB129,-0.030,0.901
DEFB130,0.205,0.865
DEFB131,0.527,0.030
DEFB132,-2.300,0.000
DEFB133,0.025,0.695
DEFB134,-0.451,0.304
DEFB135,0.036,0.612
DEFB136,0.225,0.671
DEFB4A,0.410,0.177
DEFT1P,0.090,0.241
DEGS1,-0.015,0.867
DEGS2,0.344,0.411
DEK,0.022,0.896
DEM1,0.030,0.812
DENND1A,-0.176,0.067
DENND1B,-0.032,0.813
DENND1C,0.012,0.900
DENND2A,-0.275,0.529
DENND2C,0.080,0.806
DENND2D,0.306,0.030
DENND3,0.634,0.190
DENND4A,0.102,0.523
DENND4B,0.069,0.666
DENND4C,0.126,0.673
DENND5A,0.243,0.018
DENND5B,-0.105,0.188
DENR,-0.136,0.111
DEPDC1,-0.206,0.198
DEPDC1B,-0.491,0.316
DEPDC4,0.060,0.807
DEPDC5,-0.054,0.567
DEPDC7,-0.256,0.170
DEPTOR,0.058,0.666
DERA,-0.289,0.015
DERL1,-0.168,0.131
DERL2,0.044,0.523
DERL3,0.018,0.678
DES,0.196,0.255
DET1,-0.116,0.301
DEXI,-0.117,0.363
DFFA,0.078,0.303
DFFB,0.014,0.986
DFNA5,0.405,0.022
DFNB31,0.038,0.408
DFNB59,-0.170,0.519
DGAT1,-0.096,0.480
DGAT2,0.034,0.699
DGAT2L6,0.076,0.275
DGAT2L7,-1.240,0.035
DGCR10,-0.425,0.110
DGCR11,-0.014,0.863
DGCR14,0.269,0.063
DGCR2,0.062,0.681
DGCR5,-0.331,0.049
DGCR6L,0.106,0.141
DGCR8,0.049,0.585
DGCR9,0.131,0.719
DGKA,-0.134,0.050
DGKB,-0.055,0.917
DGKD,-0.031,0.764
DGKE,0.292,0.334
DGKG,0.415,0.063
DGKH,0.100,0.573
DGKI,0.027,0.658
DGKK,0.010,0.867
DGKQ,0.140,0.415
DGKZ,0.163,0.057
DGUOK,0.015,0.885
DHCR24,0.428,0.051
DHCR7,0.498,0.002
DHDDS,-0.293,0.043
DHDH,-0.123,0.550
DHFR,-0.198,0.690
DHFRL1,-0.086,0.380
DHH,0.156,0.365
DHODH,-0.293,0.035
DHPS,-0.067,0.335
DHRS1,-0.178,0.060
DHRS11,-0.256,0.005
DHRS12,0.082,0.013
DHRS13,-0.253,0.034
DHRS2,-0.024,0.801
DHRS3,0.574,0.005
DHRS4,-0.011,0.811
DHRS4L1,-0.173,0.368
DHRS4L2,-0.060,0.613
DHRS7,-0.066,0.338
DHRS7B,-0.078,0.495
DHRS7C,0.623,0.062
DHRS9,0.725,0.012
DHRSX,0.160,0.391
DHTKD1,0.320,0.014
DHX15,0.073,0.466
DHX16,0.076,0.522
DHX29,0.166,0.133
DHX30,-0.083,0.897
DHX32,0.224,0.059
DHX33,0.023,0.759
DHX34,0.097,0.328
DHX35,0.123,0.417
DHX36,0.001,0.990
DHX37,0.151,0.218
DHX38,-0.038,0.841
DHX40,0.153,0.470
DHX57,0.145,0.728
DHX58,-0.229,0.044
DHX8,0.190,0.084
DHX9,0.132,0.128
DIABLO,0.102,0.328
DIAPH1,-0.021,0.982
DIAPH2,0.005,0.965
DIAPH3,-0.263,0.085
DICER1,-0.202,0.055
DICER1-AS,-0.672,0.044
DIDO1,-0.083,0.955
DIEXF,-0.064,0.402
DIMT1,0.010,0.922
DIO1,2.340,0.000
DIO2,0.046,0.711
DIO3,0.337,0.320
DIO3OS,-0.538,0.333
DIP2A,0.085,0.688
DIP2B,-0.002,0.986
DIP2C,-0.103,0.339
DIRAS1,0.322,0.098
DIRAS2,-0.678,0.453
DIRAS3,0.015,0.933
DIRC1,-0.006,0.982
DIRC2,0.046,0.774
DIRC3,0.332,0.388
DIS3,-0.072,0.886
DIS3L,-0.112,0.200
DIS3L2,-0.026,0.916
DISC1,0.186,0.574
DISC2,-0.355,0.456
DISP1,-0.200,0.678
DISP2,0.113,0.541
DIXDC1,-0.239,0.046
DKC1,-0.002,0.983
DKFZP434A062,0.146,0.164
DKFZP434F142,0.082,0.243
DKFZP434H168,0.154,0.229
DKFZP434I0714,0.383,0.347
DKFZp434J0226,-0.476,0.019
DKFZP434K028,0.340,0.550
DKFZP434L187,0.900,0.613
DKFZp434L192,-0.670,0.421
DKFZp451A211,-0.008,0.959
DKFZp451B082,0.015,0.819
DKFZp547G183,0.002,0.988
DKFZP547J0410,0.367,0.247
DKFZp547J222,-0.905,0.129
DKFZP547L112,-0.057,0.855
DKFZP564C152,-0.164,0.292
DKFZP564C196,-0.206,0.707
DKFZp566F0947,-0.008,0.896
DKFZP586B0319,-0.414,0.249
DKFZP586I1420,-0.186,0.071
DKFZP586K1520,0.014,0.821
DKFZp686A05212,0.194,0.111
DKFZp686D0853,0.192,0.283
DKFZp686F0839,0.005,0.936
DKFZP686I15217,0.525,0.018
DKFZp686K1684,0.026,0.661
DKFZp686L13185,-0.128,0.374
DKFZp686M1136,-1.030,0.016
DKFZp686O1327,0.157,0.708
DKFZP761C1711,0.022,0.976
DKFZp761E198,0.216,0.045
DKFZp779M0652,-0.090,0.229
DKK1,-0.530,0.034
DKK2,0.108,0.145
DKK3,-0.123,0.855
DKK4,0.122,0.630
DKKL1,-0.335,0.693
DLAT,0.267,0.210
DLC1,-0.045,0.578
DLD,-0.046,0.775
DLEC1,-0.154,0.767
DLEU1,-0.235,0.146
DLEU2L,-0.152,0.382
DLEU7,0.063,0.803
DLG1,-0.096,0.688
DLG2,-0.694,0.000
DLG3,-0.027,0.933
DLG4,0.079,0.713
DLG5,0.182,0.174
DLGAP1,0.004,0.995
DLGAP2,-0.017,0.786
DLGAP3,-0.248,0.460
DLGAP4,0.222,0.219
DLGAP5,-1.130,0.011
DLK1,0.185,0.781
DLK2,-0.079,0.667
DLL1,0.425,0.259
DLL3,0.064,0.753
DLL4,0.302,0.262
DLST,-0.239,0.382
DLX1,0.025,0.130
DLX2,0.392,0.290
DLX3,0.255,0.526
DLX4,-0.169,0.517
DLX5,-0.003,0.962
DLX6,-0.011,0.856
DLX6-AS1,-0.163,0.639
DMAP1,0.022,0.894
DMBT1,-0.148,0.442
DMBX1,0.306,0.660
DMC1,-0.498,0.190
DMD,-0.077,0.132
DMGDH,-0.233,0.264
DMKN,0.023,0.728
DMP1,-0.063,0.567
DMPK,0.403,0.017
DMRT1,0.024,0.892
DMRT2,0.028,0.770
DMRT3,0.008,0.884
DMRTA1,0.016,0.922
DMRTA2,-0.329,0.594
DMRTB1,0.030,0.605
DMRTC1,0.034,0.566
DMRTC2,0.018,0.758
DMTF1,0.065,0.600
DMWD,0.386,0.067
DMXL1,-0.092,0.484
DMXL2,-0.081,0.850
DNA2,-0.186,0.101
DNAAF1,0.043,0.588
DNAAF2,-0.137,0.303
DNAH1,-0.277,0.116
DNAH10,-0.738,0.447
DNAH10OS,-0.211,0.134
DNAH11,0.440,0.008
DNAH12,0.312,0.048
DNAH14,0.029,0.303
DNAH17,0.163,0.869
DNAH2,-0.166,0.642
DNAH3,-0.014,0.590
DNAH5,-0.118,0.051
DNAH6,-0.302,0.514
DNAH7,-0.537,0.012
DNAH8,0.088,0.501
DNAH9,-0.229,0.312
DNAI1,-0.527,0.397
DNAI2,-0.008,0.994
DNAJA1,0.059,0.386
DNAJA1P5,0.144,0.526
DNAJA2,-0.278,0.080
DNAJA3,-0.080,0.565
DNAJA4,-0.121,0.443
DNAJB1,0.341,0.116
DNAJB11,-0.018,0.918
DNAJB12,0.175,0.338
DNAJB13,-0.063,0.740
DNAJB14,0.015,0.918
DNAJB2,0.001,0.465
DNAJB3,-0.033,0.930
DNAJB4,-0.122,0.203
DNAJB5,0.070,0.584
DNAJB6,0.004,0.900
DNAJB7,0.424,0.305
DNAJB8,-0.315,0.237
DNAJB8-AS1,0.024,0.690
DNAJB9,0.010,0.898
DNAJC1,0.021,0.648
DNAJC10,-0.006,0.997
DNAJC11,-0.041,0.462
DNAJC12,-0.303,0.193
DNAJC13,0.076,0.567
DNAJC14,-0.162,0.310
DNAJC15,-0.107,0.416
DNAJC16,0.091,0.755
DNAJC17,-0.174,0.207
DNAJC18,-0.084,0.785
DNAJC19,-0.104,0.733
DNAJC2,-0.202,0.054
DNAJC21,0.003,0.476
DNAJC22,-0.071,0.467
DNAJC24,0.083,0.633
DNAJC25,-0.095,0.721
DNAJC27,-0.100,0.311
DNAJC27-AS1,0.302,0.588
DNAJC28,-0.211,0.233
DNAJC3,0.103,0.357
DNAJC30,-0.031,0.877
DNAJC4,-0.046,0.739
DNAJC5,-0.008,0.994
DNAJC5B,-0.522,0.330
DNAJC5G,0.377,0.114
DNAJC6,-0.294,0.033
DNAJC7,0.045,0.815
DNAJC8,-0.040,0.628
DNAJC9,-0.083,0.320
DNAL1,-0.179,0.054
DNAL4,-0.190,0.610
DNALI1,-0.330,0.073
DNASE1,-0.071,0.444
DNASE1L1,0.254,0.108
DNASE1L2,0.335,0.386
DNASE1L3,-0.317,0.092
DNASE2,0.202,0.191
DNASE2B,0.254,0.315
DND1,-0.006,0.758
DNER,-0.138,0.426
DNHD1,-0.239,0.285
DNLZ,-0.032,0.830
DNM1,-0.044,0.781
DNM1L,0.000,0.642
DNM1P46,0.059,0.702
DNM2,0.053,0.552
DNM3,-0.412,0.029
DNMBP,-0.108,0.399
DNMBP-AS1,-0.530,0.483
DNMT1,0.065,0.914
DNMT3A,0.266,0.162
DNMT3B,-0.063,0.914
DNMT3L,0.681,0.025
DNPEP,0.028,0.950
DNTT,-0.171,0.404
DNTTIP1,0.143,0.169
DNTTIP2,0.175,0.070
DOC2A,1.250,0.099
DOC2B,0.263,0.684
DOCK1,0.023,0.857
DOCK10,0.223,0.154
DOCK11,0.420,0.147
DOCK2,0.363,0.484
DOCK3,0.117,0.601
DOCK4,-0.211,0.017
DOCK5,-0.012,0.942
DOCK6,0.088,0.426
DOCK7,0.025,0.002
DOCK8,0.312,0.457
DOCK9,0.373,0.001
DOHH,-0.124,0.292
DOK1,0.178,0.160
DOK2,0.520,0.515
DOK3,0.146,0.648
DOK4,0.189,0.087
DOK5,0.747,0.222
DOK6,-0.090,0.632
DOK7,-0.435,0.193
DOLK,0.081,0.376
DOLPP1,0.035,0.758
DOM3Z,0.078,0.392
DONSON,0.563,0.106
DOPEY1,0.119,0.793
DOPEY2,-0.029,0.899
DOT1L,0.092,0.528
DPAGT1,0.056,0.569
DPCD,-0.086,0.523
DPCR1,-0.147,0.516
DPEP1,0.023,0.940
DPEP2,0.348,0.291
DPEP3,0.344,0.546
DPF1,0.257,0.546
DPF2,0.083,0.345
DPF3,-0.014,0.151
DPH2,-0.096,0.270
DPH3,-0.175,0.019
DPH3P1,-0.110,0.227
DPH5,-0.073,0.387
DPM1,-0.138,0.115
DPM2,0.150,0.657
DPM3,-0.080,0.755
DPP10,-0.017,0.718
DPP3,-0.006,0.945
DPP4,0.493,0.000
DPP6,0.238,0.625
DPP7,0.009,0.919
DPP8,-0.140,0.176
DPP9,0.294,0.030
DPPA2,0.008,0.889
DPPA3,-0.430,0.078
DPPA4,0.083,0.338
DPPA5,-1.280,0.433
DPRX,-0.230,0.594
DPRXP4,-0.659,0.073
DPT,0.171,0.649
DPY19L1,0.125,0.788
DPY19L1P1,-0.174,0.634
DPY19L2,0.065,0.415
DPY19L2P1,0.088,0.454
DPY19L2P2,0.138,0.193
DPY19L2P3,-0.276,0.566
DPY19L3,-0.339,0.150
DPY19L4,-0.107,0.466
DPY30,0.042,0.831
DPYD,-0.218,0.818
DPYS,-0.499,0.063
DPYSL2,0.265,0.016
DPYSL3,-0.342,0.165
DPYSL4,0.211,0.186
DPYSL5,0.113,0.501
DQX1,0.039,0.916
DR1,-0.067,0.582
DRAM1,0.166,0.371
DRAM2,0.026,0.728
DRAP1,0.021,0.891
DRD1,0.157,0.213
DRD2,0.570,0.339
DRD3,-0.012,0.955
DRD4,-0.145,0.430
DRD5,0.041,0.751
DRG1,0.084,0.382
DRG2,0.199,0.057
DRGX,-0.020,0.490
DROSHA,-0.059,0.430
DRP2,-0.038,0.620
DSC1,-0.073,0.499
DSC2,-0.016,0.879
DSC3,0.038,0.774
DSCAM,-0.184,0.258
DSCAML1,0.027,0.665
DSCC1,-0.097,0.389
DSCR10,-0.222,0.364
DSCR3,0.139,0.134
DSCR4,-0.390,0.417
DSCR6,-0.451,0.561
DSCR8,0.025,0.673
DSCR9,-0.469,0.243
DSE,0.008,0.971
DSEL,-1.333,0.003
DSG1,-0.254,0.572
DSG2,0.146,0.141
DSG3,0.753,0.296
DSG4,0.598,0.015
DSN1,0.156,0.049
DSP,-0.223,0.016
DSPP,0.643,0.532
DST,-0.172,0.015
DSTN,-0.013,0.868
DSTNP2,0.164,0.273
DSTYK,0.096,0.359
DTD1,0.028,0.719
DTHD1,0.011,0.859
DTL,-0.488,0.046
DTNA,0.055,0.581
DTNB,0.097,0.848
DTNBP1,-0.013,0.284
DTWD1,-0.174,0.082
DTWD2,-0.092,0.416
DTX1,-0.209,0.098
DTX2,0.103,0.227
DTX2P1-UPK3BP1-PMS2P11,-0.121,0.283
DTX3,-0.015,0.979
DTX3L,0.040,0.695
DTX4,0.021,0.928
DTYMK,-0.168,0.122
DUOX1,0.001,0.998
DUOX2,0.106,0.723
DUOXA1,0.568,0.210
DUOXA2,0.214,0.853
DUPD1,0.260,0.443
DUS1L,0.107,0.333
DUS2L,0.012,0.932
DUS3L,-0.049,0.654
DUS4L,-0.142,0.222
DUSP1,0.150,0.369
DUSP10,-0.136,0.488
DUSP11,0.018,0.879
DUSP12,-0.003,0.965
DUSP13,0.843,0.050
DUSP14,0.014,0.909
DUSP15,0.040,0.897
DUSP16,0.284,0.038
DUSP18,0.227,0.072
DUSP19,-0.244,0.136
DUSP2,-0.026,0.869
DUSP21,0.507,0.422
DUSP22,-0.301,0.096
DUSP23,0.024,0.746
DUSP26,-0.089,0.321
DUSP27,0.048,0.481
DUSP28,-0.290,0.024
DUSP3,0.150,0.102
DUSP4,0.026,0.899
DUSP5,-0.132,0.654
DUSP5P,-0.224,0.247
DUSP6,0.082,0.443
DUSP7,0.114,0.498
DUSP8,-0.202,0.031
DUSP9,-0.555,0.029
DUT,0.121,0.419
DUX3,-0.385,0.169
DUX4,0.061,0.989
DUX4L4,0.242,0.711
DUX4L9,0.966,0.287
DUXA,0.023,0.961
DVL1,0.034,0.855
DVL2,0.445,0.029
DVL3,0.094,0.298
DYDC1,0.063,0.505
DYDC2,-0.017,0.864
DYM,0.030,0.727
DYNC1H1,-0.060,0.590
DYNC1I1,0.110,0.659
DYNC1I2,0.052,0.485
DYNC1LI1,-0.045,0.711
DYNC1LI2,0.142,0.391
DYNC2H1,-0.160,0.494
DYNC2LI1,-0.011,0.738
DYNLL1,-0.012,0.967
DYNLL2,-0.166,0.123
DYNLRB1,-0.002,0.980
DYNLRB2,0.005,0.865
DYNLT1,-0.039,0.589
DYNLT3,-0.116,0.196
DYRK1A,0.097,0.615
